Poem,Title,Nationality,Century,Gender
"I
That is no country for old men. The young
In one another's arms, birds in the trees,
—Those dying generations—at their song,
The salmon-falls, the mackerel-crowded seas,
Fish, flesh, or fowl, commend all summer long
Whatever is begotten, born, and dies.
Caught in that sensual music all neglect
Monuments of unageing intellect.
II
An aged man is but a paltry thing,
A tattered coat upon a stick, unless
Soul clap its hands and sing, and louder sing
For every tatter in its mortal dress,
Nor is there singing school but studying
Monuments of its own magnificence;
And therefore I have sailed the seas and come
To the holy city of Byzantium.
III
O sages standing in God's holy fire
As in the gold mosaic of a wall,
Come from the holy fire, perne in a gyre,
And be the singing-masters of my soul.
Consume my heart away; sick with desire
And fastened to a dying animal
It knows not what it is; and gather me
Into the artifice of eternity.
IV
Once out of nature I shall never take
My bodily form from any natural thing,
But such a form as Grecian goldsmiths make
Of hammered gold and gold enamelling
To keep a drowsy Emperor awake;
Or set upon a golden bough to sing
To lords and ladies of Byzantium
Of what is past, or passing, or to come.",Sailing to Byzantium,Irish,20th-century,Male
"Another year!—another deadly blow!Another mighty Empire overthrown!And We are left, or shall be left, alone;The last that dare to struggle with the Foe.'Tis well! from this day forward we shall knowThat in ourselves our safety must be sought;That by our own right hands it must be wrought;That we must stand unpropped, or be laid low.O dastard whom such foretaste doth not cheer!We shall exult, if they who rule the landBe men who hold its many blessings dear,Wise, upright, valiant; not a servile band,Who are to judge of danger which they fear,And honour which they do not understand.","November, 1806",English,19th-century,Male
"Come down, O maid, from yonder mountain height:What pleasure lives in height (the shepherd sang)In height and cold, the splendour of the hills?But cease to move so near the Heavens, and ceaseTo glide a sunbeam by the blasted Pine,To sit a star upon the sparkling spire;And come, for Love is of the valley, come,For Love is of the valley, come thou downAnd find him; by the happy threshold, he,Or hand in hand with Plenty in the maize,Or red with spirted purple of the vats,Or foxlike in the vine; nor cares to walkWith Death and Morning on the silver horns,Nor wilt thou snare him in the white ravine,Nor find him dropt upon the firths of ice,That huddling slant in furrow-cloven fallsTo roll the torrent out of dusky doors:But follow; let the torrent dance thee downTo find him in the valley; let the wildLean-headed Eagles yelp alone, and leaveThe monstrous ledges there to slope, and spillTheir thousand wreaths of dangling water-smoke,That like a broken purpose waste in air:So waste not thou; but come; for all the valesAwait thee; azure pillars of the hearthArise to thee; the children call, and IThy shepherd pipe, and sweet is every sound,Sweeter thy voice, but every sound is sweet;Myriads of rivulets hurrying thro' the lawn,The moan of doves in immemorial elms,And murmuring of innumerable bees.","from The Princess: Come down, O Maid",English,19th-century,Male
"'O words are lightly spoken,' Said Pearse to Connolly, 'Maybe a breath of politic words Has withered our Rose Tree; Or maybe but a wind that blows Across the bitter sea.' 'It needs to be but watered,' James Connolly replied, 'To make the green come out again And spread on every side, And shake the blossom from the bud To be the garden's pride.' 'But where can we draw water,' Said Pearse to Connolly, 'When all the wells are parched away? O plain as plain can be There's nothing but our own red blood Can make a right Rose Tree.'",The Rose Tree,Irish,20th-century,Male
"As if engineparts could bewrenched outat random andthe car would still start andsound even,hearts can gowith chambersbroken open.",Still Start,American,20th-century,Female
"The brawling of a sparrow in the eaves,   
The brilliant moon and all the milky sky,   
And all that famous harmony of leaves,   
Had blotted out man's image and his cry.
A girl arose that had red mournful lips
And seemed the greatness of the world in tears,   
Doomed like Odysseus and the labouring ships   
And proud as Priam murdered with his peers;
Arose, and on the instant clamorous eaves,   
A climbing moon upon an empty sky,   
And all that lamentation of the leaves,   
Could but compose man's image and his cry.",The Sorrow of Love,Irish,20th-century,Male
"Come slowly – Eden!
Lips unused to Thee –
Bashful – sip thy Jessamines –
As the fainting Bee –
Reaching late his flower,
Round her chamber hums –
Counts his nectars –
Enters – and is lost in Balms.",Come slowly – Eden! (205),American,19th-century,Female
"I would not paint — a picture —
I'd rather be the One
It's bright impossibility
To dwell — delicious — on —
And wonder how the fingers feel
Whose rare — celestial — stir —
Evokes so sweet a torment —
Such sumptuous — Despair —
I would not talk, like Cornets —
I'd rather be the One
Raised softly to the Ceilings —
And out, and easy on —
Through Villages of Ether —
Myself endued Balloon
By but a lip of Metal —
The pier to my Pontoon —
Nor would I be a Poet —
It's finer — Own the Ear —
Enamored — impotent — content —
The License to revere,
A privilege so awful
What would the Dower be,
Had I the Art to stun myself
With Bolts — of Melody!",I would not paint — a picture — (348),American,19th-century,Female
"Haunted, they say, believing the soft, shifty dunes are made up of false promises. Many believe  whatever happens  is the other half of a conversation. Many whisper white lies to the dead. ""The boys are doing really well."" Some think nothing is so until it has been witnessed. They believe the bits are iffy; the forces that bind them, absolute.",Djinn,American,21st-century,Female
"my story is
how deep the heart runs
to hide & laugh
with your hands
over your blank mouth
face behind the mask
talking in tongues
something tearing
feathers from a crow
that screams
from the furnace
the black candle
in a skull
sweet pain of meat
    let’s pour the river’s rainbow
    into our stone water jars
    bad luck isn’t red flowers
    crushed under jackboots
your story is
a crippled animal
dragging a steel trap
across desert sand
a bee’s sting inside your heart
& its song of honey
in my groin
a factory of blue jays
in honey locust leaves
wet pages of smoke
like a man
deserting his shadow
in dark woods
the dog that limps away
& rotten fruit on the trees
this story is
the speaking skull
on the mantelpiece
the wingspan of a hawk
at the edge of a coyote’s cry
the seventh son’s mojo hand
holding his life together
with a black cat bone
the six grandfathers
& spider woman
the dust wings
of ghost dance vision
deer that can’t
stand for falling
wunmonije witch doctor
backwater blues
juju man
a silk gown on the floor
a black bowl
on a red lacquered table
x-rated
because it’s true
    let’s pour starlight
    from our stone water jars
    pain isn’t just red flowers
    crushed under jackboots
my story is
inside a wino’s bottle
the cup blood leaps into
eight-to-the-bar
a man on his knees
facing the golden calf
the silverfish of old lust
mama hoodoo
a gullah basket
woven from your hair
love note from the madhouse
thornbushes
naming the shape
of things to come
old murder weapons
strings of piano wire
    let’s pour the night
    into our stone water jars
    this song isn’t red flowers
    crushed under silence
our story is
a rifle butt
across our heads
arpeggio of bowed grass
among glass trees
where they kick down doors
& we swan-dive from
the brooklyn bridge
a post-hypnotic suggestion
a mosaic membrane
skin of words
mirrors shattered
in roadhouses
in the gun-barrel night
how a machine moves
deeper into piles
of bones
the way we
crowd at the foot
of the gallows",Blues Chant Hoodoo Revival,American,20th-century,Male
