Poet,Poem,Title,Nationalty,Century,Gender
Rae Armantrout,"Shooting pleasures   
Ok’d by
My being seen
For
Or as
If.
                   *
Not just light
at the end of the tunnel,
but hearts, bows, rainbows—
all the stickers
teachers award if pleased.
                   *
Pigeons bathe in technicolor   
fluid “of a morning.”
                   *
If I was banging
my head with a shoe,
I was just exaggerating—
like raising my voice   
or the ante.
Curlicues
on iron gratings:
Can it be
a flourish is a grimace,
but a grimace isn’t a flourish?
                   *
On the inscribed surface
of sleep.
Almost constant   
bird soundings.
“Aloha, Fruity Pebbles!”
Music, useful
for abstracting emphasis.
Sweet nothing   
to do with me.",Confidential,American,21st-century,Female
Emily Dickinson,"After great pain, a formal feeling comes –
The Nerves sit ceremonious, like Tombs –
The stiff Heart questions ‘was it He, that bore,’
And ‘Yesterday, or Centuries before’?
The Feet, mechanical, go round –
A Wooden way
Of Ground, or Air, or Ought –
Regardless grown,
A Quartz contentment, like a stone –
This is the Hour of Lead –
Remembered, if outlived,
As Freezing persons, recollect the Snow –
First – Chill – then Stupor – then the letting go –","After great pain, a formal feeling comes – (372)",American,19th-century,Female
Emily Dickinson,"Because I could not stop for Death –
He kindly stopped for me –
The Carriage held but just Ourselves –
And Immortality.
We slowly drove – He knew no haste
And I had put away
My labor and my leisure too,
For His Civility –
We passed the School, where Children strove
At Recess – in the Ring –
We passed the Fields of Gazing Grain –
We passed the Setting Sun –
Or rather – He passed Us –
The Dews drew quivering and Chill –
For only Gossamer, my Gown –
My Tippet – only Tulle –
We paused before a House that seemed
A Swelling of the Ground –
The Roof was scarcely visible –
The Cornice – in the Ground –
Since then – 'tis Centuries – and yet
Feels shorter than the Day
I first surmised the Horses' Heads
Were toward Eternity –",Because I could not stop for Death – (479),American,19th-century,Female
Kay Ryan,"Surfaces serve
their own purposes,
strive to remain
constant (all lives
want that). There is
a skin, not just on
peaches but on oceans
(note the telltale
slough of foam on beaches).
Sometimes it’s loose,
as in the case
of cats: you feel how a
second life slides
under it. Sometimes it
fits. Take glass.
Sometimes it outlasts
its underside. Take reefs.
The private lives of surfaces
are innocent, not devious.
Take the one-dimensional
belief of enamel in itself,
the furious autonomy
of luster (crush a pearl—
it’s powder), the whole
curious seamlessness
of how we’re each surrounded
and what it doesn’t teach.",Surfaces,American,20th-century,Female
Samuel Menashe,"1
Is this writing mine
Whose name is this
Did I underline
What I was to miss?
      2
An upheaval of leaves
Enlightens the tree
Rooted it receives   
Gusts on a spree
      3
Beauty makes me sad
Makes me grieve
I see what I must leave
      4
Scaffold, gallows
Do whose will
Who hallows wood
To build, kill
      5
Blind man, anvil
No hammer strikes
Your eyes are spikes",At Cross Purposes,American,20th-century,Male
John Ashbery,"These lacustrine cities grew out of loathing
Into something forgetful, although angry with history.
They are the product of an idea: that man is horrible, for instance,   
Though this is only one example.
They emerged until a tower
Controlled the sky, and with artifice dipped back
Into the past for swans and tapering branches,
Burning, until all that hate was transformed into useless love.
Then you are left with an idea of yourself
And the feeling of ascending emptiness of the afternoon   
Which must be charged to the embarrassment of others   
Who fly by you like beacons.
The night is a sentinel.
Much of your time has been occupied by creative games
Until now, but we have all-inclusive plans for you.
We had thought, for instance, of sending you to the middle of the desert,
To a violent sea, or of having the closeness of the others be air   
To you, pressing you back into a startled dream
As sea-breezes greet a child’s face.
But the past is already here, and you are nursing some private project.
The worst is not over, yet I know
You will be happy here. Because of the logic
Of your situation, which is something no climate can outsmart.   
Tender and insouciant by turns, you see
You have built a mountain of something,
Thoughtfully pouring all your energy into this single monument,   
Whose wind is desire starching a petal,
Whose disappointment broke into a rainbow of tears.",These Lacustrine Cities,American,20th-century,Male
John Ashbery,"No changes of support—only
Patches of gray, here where sunlight fell.
The house seems heavier
Now that they have gone away.   
In fact it emptied in record time.   
When the flat table used to result
A match recedes, slowly, into the night.
The academy of the future is   
Opening its doors and willing
The fruitless sunlight streams into domes,   
The chairs piled high with books and papers.
The sedate one is this month’s skittish one   
Confirming the property that,
A timeless value, has changed hands.
And you could have a new automobile
Ping pong set and garage, but the thief   
Stole everything like a miracle.
In his book there was a picture of treason only   
And in the garden, cries and colors.",Last Month,American,20th-century,Male
John Ashbery,"The man with the red hat
And the polar bear, is he here too?   
The window giving on shade,   
Is that here too?
And all the little helps,
My initials in the sky,
The hay of an arctic summer night?
The bear
Drops dead in sight of the window.
Lovely tribes have just moved to the north.
In the flickering evening the martins grow denser.   
Rivers of wings surround us and vast tribulation.",Glazunoviana,American,20th-century,Male
John Ashbery,"What had you been thinking about
the face studiously bloodied
heaven blotted region
I go on loving you like water but
there is a terrible breath in the way all of this
You were not elected president, yet won the race
All the way through fog and drizzle
When you read it was sincere the coasts
stammered with unintentional villages the
horse strains fatigued I guess . . . the calls . . .
I worry
the water beetle head
why of course reflecting all
then you redid you were breathing
I thought going down to mail this
of the kettle you jabbered as easily in the yard
you come through but
are incomparable the lovely tent
mystery you don’t want surrounded the real
you dance
in the spring there was clouds
The mulatress approached in the hall—the
lettering easily visible along the edge of the Times
in a moment the bell would ring but there was time
for the carnation laughed here are a couple of “other”
to one in yon house
The doctor and Philip had come over the road
Turning in toward the corner of the wall his hat on
reading it carelessly as if to tell you your fears were justified
the blood shifted you know those walls
wind off the earth had made him shrink
undeniably an oboe now the young
were there there was candy
to decide the sharp edge of the garment
like a particular cry not intervening called the dog “he’s coming! he’s coming” with an emotion felt it sink into peace
there was no turning back but the end was in sight
he chose this moment to ask her in detail about her family and the others
The person.   pleaded—“have more of these
not stripes on the tunic—or the porch chairs
will teach you about men—what it means”
to be one in a million pink stripe
and now could go away the three approached the doghouse
the reef.   Your daughter’s
dream of my son understand prejudice
darkness in the hole
the patient finished
They could all go home now the hole was dark
lilacs blowing across his face glad he brought you",The Tennis Court Oath,American,20th-century,Male
John Ashbery,"He says he doesn’t feel like working today.
It’s just as well. Here in the shade
Behind the house, protected from street noises,   
One can go over all kinds of old feeling,
Throw some away, keep others.
                                             The wordplay
Between us gets very intense when there are   
Fewer feelings around to confuse things.
Another go-round? No, but the last things
You always find to say are charming, and rescue me   
Before the night does. We are afloat
On our dreams as on a barge made of ice,
Shot through with questions and fissures of starlight   
That keep us awake, thinking about the dreams
As they are happening. Some occurrence. You said it.
I said it but I can hide it. But I choose not to.   
Thank you. You are a very pleasant person.   
Thank you. You are too.",My Erotic Double,American,20th-century,Male
